input,output,time
0.000075,0.000000,0.000000
0.000102,0.000001,0.050000
0.000138,0.000003,0.100000
0.000187,0.000008,0.150000
0.000254,0.000016,0.200000
0.000342,0.000028,0.250000
0.000460,0.000045,0.300000
0.000616,0.000071,0.350000
0.000818,0.000106,0.400000
0.001080,0.000155,0.450000
0.001412,0.000221,0.500000
0.001825,0.000311,0.550000
0.002325,0.000431,0.600000
0.002914,0.000589,0.650000
0.003584,0.000794,0.700000
0.004317,0.001058,0.750000
0.005084,0.001393,0.800000
0.005851,0.001811,0.850000
0.006582,0.002324,0.900000
0.007246,0.002945,0.950000
0.007813,0.003685,1.000000
0.008261,0.004551,1.050000
0.008566,0.005553,1.100000
0.008703,0.006694,1.150000
0.008644,0.007978,1.200000
0.008360,0.009402,1.250000
0.007825,0.010963,1.300000
0.007021,0.012651,1.350000
0.005946,0.014454,1.400000
0.004614,0.016353,1.450000
0.003059,0.018328,1.500000
0.001334,0.020352,1.550000
-0.000495,0.022399,1.600000
-0.002358,0.024437,1.650000
-0.004179,0.026436,1.700000
-0.005893,0.028368,1.750000
-0.007444,0.030203,1.800000
-0.008787,0.031918,1.850000
-0.009893,0.033488,1.900000
-0.010740,0.034898,1.950000
-0.011316,0.036132,2.000000
-0.011611,0.037182,2.050000
-0.011620,0.038043,2.100000
-0.011340,0.038713,2.150000
-0.010778,0.039199,2.200000
-0.009949,0.039509,2.250000
-0.008887,0.039657,2.300000
-0.007641,0.039660,2.350000
-0.006281,0.039538,2.400000
-0.004885,0.039314,2.450000
-0.003527,0.039010,2.500000
-0.002274,0.038648,2.550000
-0.001167,0.038248,2.600000
-0.000231,0.037830,2.650000
0.000530,0.037407,2.700000
0.001124,0.036993,2.750000
0.001567,0.036597,2.800000
0.001876,0.036226,2.850000
0.002069,0.035886,2.900000
0.002160,0.035580,2.950000
0.002165,0.035309,3.000000
0.002096,0.035073,3.050000
0.001966,0.034872,3.100000
0.001790,0.034702,3.150000
0.001583,0.034562,3.200000
0.001361,0.034447,3.250000
0.001139,0.034355,3.300000
0.000929,0.034281,3.350000
0.000738,0.034223,3.400000
0.000570,0.034176,3.450000
0.000426,0.034139,3.500000
0.000302,0.034109,3.550000
0.000195,0.034084,3.600000
0.000100,0.034063,3.650000
0.000011,0.034042,3.700000
-0.000079,0.034022,3.750000
-0.000176,0.034001,3.800000
-0.000288,0.033977,3.850000
-0.000423,0.033948,3.900000
-0.000591,0.033912,3.950000
-0.000801,0.033866,4.000000
-0.001064,0.033808,4.050000
-0.001392,0.033731,4.100000
-0.001794,0.033632,4.150000
-0.002274,0.033504,4.200000
-0.002829,0.033338,4.250000
-0.003449,0.033126,4.300000
-0.004108,0.032857,4.350000
-0.004770,0.032522,4.400000
-0.005394,0.032108,4.450000
-0.005934,0.031607,4.500000
-0.006348,0.031008,4.550000
-0.006599,0.030306,4.600000
-0.006662,0.029497,4.650000
-0.006517,0.028579,4.700000
-0.006155,0.027554,4.750000
-0.005574,0.026429,4.800000
-0.004785,0.025214,4.850000
-0.003814,0.023920,4.900000
-0.002703,0.022565,4.950000
-0.001509,0.021165,5.000000
-0.000295,0.019741,5.050000
0.000875,0.018312,5.100000
0.001949,0.016897,5.150000
0.002890,0.015513,5.200000
0.003677,0.014177,5.250000
0.004308,0.012901,5.300000
0.004787,0.011695,5.350000
0.005127,0.010567,5.400000
0.005339,0.009522,5.450000
0.005437,0.008565,5.500000
0.005432,0.007696,5.550000
0.005335,0.006916,5.600000
0.005157,0.006224,5.650000
0.004911,0.005615,5.700000
0.004615,0.005087,5.750000
0.004289,0.004633,5.800000
0.003951,0.004251,5.850000
0.003622,0.003932,5.900000
0.003313,0.003673,5.950000
0.003026,0.003468,6.000000
0.002747,0.003313,6.050000
0.002442,0.003202,6.100000
0.002045,0.003131,6.150000
0.001454,0.003094,6.200000
0.000526,0.003079,6.250000
-0.000876,0.003073,6.300000
-0.002772,0.003052,6.350000
-0.004934,0.002985,6.400000
-0.006892,0.002837,6.450000
-0.008174,0.002578,6.500000
-0.008550,0.002187,6.550000
-0.008044,0.001657,6.600000
-0.006814,0.000996,6.650000
-0.005048,0.000225,6.700000
-0.002927,-0.000628,6.750000
-0.000627,-0.001529,6.800000
0.001687,-0.002440,6.850000
0.003868,-0.003324,6.900000
0.005794,-0.004145,6.950000
0.007380,-0.004872,7.000000
0.008576,-0.005478,7.050000
0.009362,-0.005945,7.100000
0.009739,-0.006259,7.150000
0.009720,-0.006415,7.200000
0.009322,-0.006413,7.250000
0.008568,-0.006258,7.300000
0.007482,-0.005964,7.350000
0.006094,-0.005548,7.400000
0.004443,-0.005033,7.450000
0.002582,-0.004445,7.500000
0.000571,-0.003816,7.550000
-0.001515,-0.003177,7.600000
-0.003598,-0.002563,7.650000
-0.005601,-0.002008,7.700000
-0.007454,-0.001544,7.750000
-0.009097,-0.001201,7.800000
-0.010488,-0.001007,7.850000
-0.011599,-0.000984,7.900000
-0.012413,-0.001151,7.950000
-0.012926,-0.001519,8.000000
-0.013140,-0.002099,8.050000
-0.013066,-0.002893,8.100000
-0.012716,-0.003900,8.150000
-0.012111,-0.005115,8.200000
-0.011280,-0.006527,8.250000
-0.010257,-0.008123,8.300000
-0.009084,-0.009887,8.350000
-0.007808,-0.011799,8.400000
-0.006479,-0.013839,8.450000
-0.005143,-0.015985,8.500000
-0.003838,-0.018215,8.550000
-0.002595,-0.020507,8.600000
-0.001428,-0.022842,8.650000
-0.000341,-0.025201,8.700000
0.000674,-0.027565,8.750000
0.001635,-0.029919,8.800000
0.002564,-0.032245,8.850000
0.003490,-0.034530,8.900000
0.004436,-0.036758,8.950000
0.005426,-0.038913,9.000000
0.006470,-0.040980,9.050000
0.007567,-0.042940,9.100000
0.008698,-0.044777,9.150000
0.009831,-0.046472,9.200000
0.010924,-0.048006,9.250000
0.011934,-0.049362,9.300000
0.012821,-0.050523,9.350000
0.013557,-0.051475,9.400000
0.014124,-0.052205,9.450000
0.014512,-0.052705,9.500000
0.014719,-0.052968,9.550000
0.014742,-0.052990,9.600000
0.014579,-0.052772,9.650000
0.014225,-0.052316,9.700000
0.013677,-0.051628,9.750000
0.012933,-0.050716,9.800000
0.012001,-0.049593,9.850000
0.010900,-0.048274,9.900000
0.009664,-0.046778,9.950000
0.008341,-0.045123,10.000000
0.006985,-0.043333,10.050000
0.005650,-0.041428,10.100000
0.004376,-0.039431,10.150000
0.003188,-0.037362,10.200000
0.002090,-0.035241,10.250000
0.001073,-0.033086,10.300000
0.000118,-0.030913,10.350000
-0.000796,-0.028738,10.400000
-0.001685,-0.026576,10.450000
-0.002554,-0.024442,10.500000
-0.003395,-0.022349,10.550000
-0.004187,-0.020312,10.600000
-0.004899,-0.018343,10.650000
-0.005500,-0.016455,10.700000
-0.005961,-0.014655,10.750000
-0.006263,-0.012954,10.800000
-0.006402,-0.011354,10.850000
-0.006386,-0.009858,10.900000
-0.006235,-0.008467,10.950000
-0.005979,-0.007178,11.000000
-0.005652,-0.005986,11.050000
-0.005286,-0.004887,11.100000
-0.004909,-0.003874,11.150000
-0.004538,-0.002941,11.200000
-0.004184,-0.002082,11.250000
-0.003848,-0.001292,11.300000
-0.003527,-0.000565,11.350000
-0.003217,0.000105,11.400000
-0.002913,0.000722,11.450000
-0.002614,0.001291,11.500000
-0.002323,0.001818,11.550000
-0.002046,0.002307,11.600000
-0.001796,0.002762,11.650000
-0.001583,0.003188,11.700000
-0.001421,0.003587,11.750000
-0.001321,0.003964,11.800000
-0.001294,0.004319,11.850000
-0.001350,0.004653,11.900000
-0.001500,0.004964,11.950000
-0.001757,0.005251,12.000000
-0.002134,0.005509,12.050000
-0.002649,0.005732,12.100000
-0.003313,0.005911,12.150000
-0.004135,0.006036,12.200000
-0.005113,0.006093,12.250000
-0.006231,0.006067,12.300000
-0.007454,0.005938,12.350000
-0.008732,0.005688,12.400000
-0.010005,0.005295,12.450000
-0.011206,0.004738,12.500000
-0.012278,0.003999,12.550000
-0.013164,0.003059,12.600000
-0.013809,0.001904,12.650000
-0.014143,0.000524,12.700000
-0.014057,-0.001087,12.750000
-0.013384,-0.002926,12.800000
-0.011890,-0.004984,12.850000
-0.009341,-0.007234,12.900000
-0.005683,-0.009635,12.950000
-0.001257,-0.012129,13.000000
0.003210,-0.014643,13.050000
0.006994,-0.017106,13.100000
0.009760,-0.019456,13.150000
0.011575,-0.021647,13.200000
0.012690,-0.023651,13.250000
0.013354,-0.025448,13.300000
0.013754,-0.027026,13.350000
0.014009,-0.028381,13.400000
0.014193,-0.029506,13.450000
0.014349,-0.030399,13.500000
0.014501,-0.031058,13.550000
0.014662,-0.031480,13.600000
0.014836,-0.031662,13.650000
0.015022,-0.031602,13.700000
0.015212,-0.031296,13.750000
0.015390,-0.030742,13.800000
0.015541,-0.029936,13.850000
0.015643,-0.028876,13.900000
0.015674,-0.027560,13.950000
0.015614,-0.025989,14.000000
0.015439,-0.024162,14.050000
0.015123,-0.022084,14.100000
0.014639,-0.019758,14.150000
0.013951,-0.017194,14.200000
0.013023,-0.014401,14.250000
0.011817,-0.011396,14.300000
0.010297,-0.008199,14.350000
0.008442,-0.004834,14.400000
0.006251,-0.001331,14.450000
0.003758,0.002274,14.500000
0.001033,0.005940,14.550000
-0.001819,0.009622,14.600000
-0.004673,0.013275,14.650000
-0.007403,0.016852,14.700000
-0.009905,0.020308,14.750000
-0.012107,0.023603,14.800000
-0.013977,0.026700,14.850000
-0.015513,0.029569,14.900000
-0.016733,0.032185,14.950000
-0.017667,0.034529,15.000000
-0.018344,0.036583,15.050000
-0.018781,0.038339,15.100000
-0.018981,0.039787,15.150000
-0.018920,0.040926,15.200000
-0.018553,0.041756,15.250000
-0.017825,0.042283,15.300000
-0.016712,0.042520,15.350000
-0.015270,0.042483,15.400000
-0.013636,0.042198,15.450000
-0.011943,0.041690,15.500000
-0.010241,0.040986,15.550000
-0.008500,0.040116,15.600000
-0.006669,0.039107,15.650000
-0.004722,0.037989,15.700000
-0.002679,0.036794,15.750000
-0.000604,0.035555,15.800000
0.001414,0.034307,15.850000
0.003277,0.033081,15.900000
0.004901,0.031909,15.950000
0.006230,0.030817,16.000000
0.007235,0.029826,16.050000
0.007917,0.028953,16.100000
0.008295,0.028208,16.150000
0.008400,0.027600,16.200000
0.008266,0.027128,16.250000
0.007931,0.026791,16.300000
0.007430,0.026583,16.350000
0.006793,0.026497,16.400000
0.006052,0.026521,16.450000
0.005232,0.026645,16.500000
0.004361,0.026853,16.550000
0.003463,0.027134,16.600000
0.002561,0.027470,16.650000
0.001679,0.027849,16.700000
0.000840,0.028255,16.750000
0.000065,0.028675,16.800000
-0.000623,0.029096,16.850000
-0.001204,0.029507,16.900000
-0.001661,0.029899,16.950000
-0.001980,0.030263,17.000000
-0.002151,0.030596,17.050000
-0.002174,0.030893,17.100000
-0.002056,0.031155,17.150000
-0.001815,0.031384,17.200000
-0.001475,0.031583,17.250000
-0.001067,0.031758,17.300000
-0.000621,0.031916,17.350000
-0.000169,0.032064,17.400000
0.000264,0.032208,17.450000
0.000656,0.032358,17.500000
0.000995,0.032517,17.550000
0.001274,0.032693,17.600000
0.001495,0.032890,17.650000
0.001661,0.033111,17.700000
0.001780,0.033359,17.750000
0.001860,0.033636,17.800000
0.001910,0.033944,17.850000
0.001936,0.034283,17.900000
0.001945,0.034653,17.950000
0.001940,0.035055,18.000000
0.001926,0.035489,18.050000
0.001905,0.035954,18.100000
0.001877,0.036450,18.150000
0.001843,0.036978,18.200000
0.001802,0.037535,18.250000
0.001754,0.038121,18.300000
0.001695,0.038737,18.350000
0.001623,0.039380,18.400000
0.001533,0.040049,18.450000
0.001419,0.040743,18.500000
0.001274,0.041461,18.550000
0.001091,0.042200,18.600000
0.000859,0.042956,18.650000
0.000570,0.043726,18.700000
0.000214,0.044505,18.750000
-0.000212,0.045288,18.800000
-0.000711,0.046067,18.850000
-0.001273,0.046835,18.900000
-0.001881,0.047582,18.950000
-0.002512,0.048298,19.000000
-0.003135,0.048972,19.050000
-0.003719,0.049596,19.100000
-0.004238,0.050159,19.150000
-0.004672,0.050653,19.200000
-0.005007,0.051071,19.250000
-0.005238,0.051407,19.300000
-0.005363,0.051657,19.350000
-0.005378,0.051820,19.400000
-0.005284,0.051895,19.450000
-0.005077,0.051884,19.500000
-0.004757,0.051790,19.550000
-0.004322,0.051619,19.600000
-0.003778,0.051377,19.650000
-0.003139,0.051074,19.700000
-0.002427,0.050719,19.750000
-0.001672,0.050325,19.800000
-0.000912,0.049903,19.850000
-0.000180,0.049466,19.900000
0.000493,0.049027,19.950000
0.001087,0.048595,20.000000
0.001592,0.048181,20.050000
0.002009,0.047793,20.100000
0.002342,0.047438,20.150000
0.002598,0.047121,20.200000
0.002785,0.046846,20.250000
0.002905,0.046617,20.300000
0.002956,0.046435,20.350000
0.002924,0.046301,20.400000
0.002789,0.046215,20.450000
0.002529,0.046175,20.500000
0.002140,0.046175,20.550000
0.001661,0.046211,20.600000
0.001174,0.046273,20.650000
0.000761,0.046355,20.700000
0.000461,0.046449,20.750000
0.000265,0.046552,20.800000
0.000147,0.046658,20.850000
0.000079,0.046767,20.900000
0.000041,0.046877,20.950000
0.000021,0.046988,21.000000
0.000010,0.047100,21.050000
0.000005,0.047211,21.100000
0.000002,0.047323,21.150000
0.000001,0.047435,21.200000
0.000001,0.047546,21.250000
0.000001,0.047658,21.300000
0.000001,0.047770,21.350000
0.000002,0.047882,21.400000
0.000003,0.047994,21.450000
0.000004,0.048105,21.500000
0.000006,0.048217,21.550000
0.000008,0.048329,21.600000
0.000012,0.048441,21.650000
0.000016,0.048554,21.700000
0.000021,0.048666,21.750000
0.000028,0.048779,21.800000
0.000038,0.048893,21.850000
0.000052,0.049007,21.900000
0.000069,0.049122,21.950000
0.000093,0.049238,22.000000
0.000124,0.049355,22.050000
0.000166,0.049475,22.100000
0.000220,0.049597,22.150000
0.000290,0.049723,22.200000
0.000381,0.049854,22.250000
0.000495,0.049991,22.300000
0.000637,0.050136,22.350000
0.000808,0.050292,22.400000
0.001009,0.050461,22.450000
0.001237,0.050646,22.500000
0.001485,0.050852,22.550000
0.001745,0.051081,22.600000
0.002005,0.051340,22.650000
0.002253,0.051631,22.700000
0.002481,0.051959,22.750000
0.002681,0.052327,22.800000
0.002852,0.052740,22.850000
0.002992,0.053199,22.900000
0.003105,0.053706,22.950000
0.003194,0.054265,23.000000
0.003261,0.054875,23.050000
0.003312,0.055539,23.100000
0.003348,0.056257,23.150000
0.003372,0.057030,23.200000
0.003386,0.057858,23.250000
0.003391,0.058741,23.300000
0.003387,0.059680,23.350000
0.003373,0.060673,23.400000
0.003349,0.061722,23.450000
0.003311,0.062826,23.500000
0.003258,0.063984,23.550000
0.003184,0.065195,23.600000
0.003084,0.066458,23.650000
0.002951,0.067772,23.700000
0.002776,0.069133,23.750000
0.002547,0.070540,23.800000
0.002253,0.071989,23.850000
0.001880,0.073474,23.900000
0.001416,0.074990,23.950000
0.000852,0.076529,24.000000
0.000187,0.078081,24.050000
-0.000576,0.079637,24.100000
-0.001419,0.081183,24.150000
-0.002317,0.082706,24.200000
-0.003238,0.084191,24.250000
-0.004150,0.085623,24.300000
-0.005024,0.086988,24.350000
-0.005839,0.088270,24.400000
-0.006581,0.089457,24.450000
-0.007241,0.090537,24.500000
-0.007816,0.091499,24.550000
-0.008300,0.092332,24.600000
-0.008688,0.093031,24.650000
-0.008974,0.093587,24.700000
-0.009154,0.093997,24.750000
-0.009220,0.094258,24.800000
-0.009169,0.094368,24.850000
-0.008999,0.094328,24.900000
-0.008708,0.094142,24.950000
-0.008298,0.093813,25.000000
-0.007771,0.093349,25.050000
-0.007134,0.092758,25.100000
-0.006393,0.092050,25.150000
-0.005560,0.091238,25.200000
-0.004647,0.090336,25.250000
-0.003671,0.089357,25.300000
-0.002648,0.088319,25.350000
-0.001599,0.087238,25.400000
-0.000545,0.086130,25.450000
0.000494,0.085014,25.500000
0.001499,0.083906,25.550000
0.002452,0.082822,25.600000
0.003337,0.081778,25.650000
0.004141,0.080789,25.700000
0.004853,0.079867,25.750000
0.005464,0.079025,25.800000
0.005964,0.078271,25.850000
0.006345,0.077615,25.900000
0.006597,0.077063,25.950000
0.006709,0.076618,26.000000
0.006667,0.076283,26.050000
0.006459,0.076056,26.100000
0.006074,0.075935,26.150000
0.005507,0.075913,26.200000
0.004764,0.075981,26.250000
0.003864,0.076126,26.300000
0.002844,0.076334,26.350000
0.001757,0.076589,26.400000
0.000663,0.076873,26.450000
-0.000377,0.077167,26.500000
-0.001312,0.077456,26.550000
-0.002107,0.077723,26.600000
-0.002743,0.077956,26.650000
-0.003219,0.078145,26.700000
-0.003542,0.078281,26.750000
-0.003728,0.078359,26.800000
-0.003793,0.078377,26.850000
-0.003756,0.078333,26.900000
-0.003631,0.078227,26.950000
-0.003433,0.078063,27.000000
-0.003176,0.077842,27.050000
-0.002871,0.077569,27.100000
-0.002529,0.077250,27.150000
-0.002162,0.076889,27.200000
-0.001782,0.076493,27.250000
-0.001403,0.076068,27.300000
-0.001039,0.075620,27.350000
-0.000705,0.075155,27.400000
-0.000418,0.074678,27.450000
-0.000194,0.074194,27.500000
-0.000050,0.073707,27.550000
0.000005,0.073220,27.600000
-0.000036,0.072732,27.650000
-0.000169,0.072243,27.700000
-0.000383,0.071752,27.750000
-0.000656,0.071254,27.800000
-0.000963,0.070745,27.850000
-0.001277,0.070221,27.900000
-0.001575,0.069676,27.950000
-0.001844,0.069105,28.000000
-0.002076,0.068504,28.050000
-0.002275,0.067869,28.100000
-0.002449,0.067197,28.150000
-0.002609,0.066485,28.200000
-0.002768,0.065731,28.250000
-0.002940,0.064931,28.300000
-0.003135,0.064083,28.350000
-0.003362,0.063184,28.400000
-0.003624,0.062230,28.450000
-0.003921,0.061216,28.500000
-0.004243,0.060138,28.550000
-0.004577,0.058991,28.600000
-0.004905,0.057770,28.650000
-0.005208,0.056468,28.700000
-0.005469,0.055081,28.750000
-0.005674,0.053604,28.800000
-0.005813,0.052036,28.850000
-0.005880,0.050372,28.900000
-0.005870,0.048612,28.950000
-0.005776,0.046756,29.000000
-0.005595,0.044806,29.050000
-0.005318,0.042765,29.100000
-0.004941,0.040637,29.150000
-0.004460,0.038428,29.200000
-0.003879,0.036147,29.250000
-0.003206,0.033802,29.300000
-0.002463,0.031405,29.350000
-0.001678,0.028968,29.400000
-0.000885,0.026503,29.450000
-0.000116,0.024024,29.500000
0.000600,0.021543,29.550000
0.001249,0.019072,29.600000
0.001825,0.016621,29.650000
0.002332,0.014199,29.700000
0.002784,0.011816,29.750000
0.003197,0.009478,29.800000
0.003589,0.007193,29.850000
0.003981,0.004966,29.900000
0.004388,0.002804,29.950000
0.004824,0.000714,30.000000
0.005296,-0.001297,30.050000
0.005802,-0.003222,30.100000
0.006336,-0.005051,30.150000
0.006880,-0.006777,30.200000
0.007415,-0.008391,30.250000
0.007918,-0.009884,30.300000
0.008372,-0.011247,30.350000
0.008764,-0.012473,30.400000
0.009086,-0.013556,30.450000
0.009337,-0.014491,30.500000
0.009520,-0.015274,30.550000
0.009636,-0.015900,30.600000
0.009689,-0.016370,30.650000
0.009679,-0.016681,30.700000
0.009605,-0.016834,30.750000
0.009461,-0.016830,30.800000
0.009243,-0.016672,30.850000
0.008941,-0.016362,30.900000
0.008549,-0.015907,30.950000
0.008061,-0.015312,31.000000
0.007478,-0.014585,31.050000
0.006811,-0.013736,31.100000
0.006079,-0.012777,31.150000
0.005311,-0.011717,31.200000
0.004539,-0.010571,31.250000
0.003798,-0.009351,31.300000
0.003116,-0.008068,31.350000
0.002511,-0.006735,31.400000
0.001989,-0.005360,31.450000
0.001549,-0.003953,31.500000
0.001182,-0.002520,31.550000
0.000874,-0.001068,31.600000
0.000610,0.000398,31.650000
0.000376,0.001874,31.700000
0.000155,0.003357,31.750000
-0.000067,0.004842,31.800000
-0.000305,0.006326,31.850000
-0.000573,0.007805,31.900000
-0.000883,0.009275,31.950000
-0.001249,0.010730,32.000000
-0.001683,0.012164,32.050000
-0.002192,0.013571,32.100000
-0.002784,0.014942,32.150000
-0.003458,0.016267,32.200000
-0.004209,0.017536,32.250000
-0.005023,0.018736,32.300000
-0.005881,0.019854,32.350000
-0.006757,0.020875,32.400000
-0.007621,0.021786,32.450000
-0.008444,0.022573,32.500000
-0.009202,0.023222,32.550000
-0.009873,0.023720,32.600000
-0.010445,0.024058,32.650000
-0.010912,0.024224,32.700000
-0.011272,0.024213,32.750000
-0.011532,0.024017,32.800000
-0.011696,0.023633,32.850000
-0.011774,0.023058,32.900000
-0.011773,0.022291,32.950000
-0.011701,0.021331,33.000000
-0.011560,0.020181,33.050000
-0.011355,0.018841,33.100000
