input,output,time
0.000000,0.000002,0.000000
0.000000,-0.000009,0.010000
0.000000,0.000001,0.020000
0.000000,-0.000003,0.030000
0.000000,0.000001,0.040000
0.000000,0.000008,0.050000
0.000000,-0.000006,0.060000
0.000000,-0.000006,0.070000
0.000000,0.000003,0.080000
0.000000,-0.000006,0.090000
0.000000,-0.000003,0.100000
0.000000,0.000009,0.110000
0.000000,0.000008,0.120000
0.000000,-0.000003,0.130000
0.000000,-0.000006,0.140000
0.000000,0.000008,0.150000
0.000000,0.000001,0.160000
0.000000,0.000010,0.170000
0.000000,-0.000005,0.180000
0.000000,-0.000004,0.190000
0.000000,0.000005,0.200000
0.000000,-0.000008,0.210000
0.000000,-0.000010,0.220000
0.000000,0.000004,0.230000
0.000000,0.000001,0.240000
0.000000,0.000008,0.250000
0.000000,0.000009,0.260000
0.000000,-0.000003,0.270000
0.000000,0.000001,0.280000
0.000000,0.000002,0.290000
0.000000,0.000000,0.300000
0.000000,0.000007,0.310000
0.000000,0.000000,0.320000
0.000000,0.000007,0.330000
0.000000,0.000003,0.340000
0.000000,0.000003,0.350000
0.000000,-0.000003,0.360000
0.000000,-0.000007,0.370000
0.000000,-0.000008,0.380000
0.000000,0.000009,0.390000
0.000000,0.000001,0.400000
0.000000,0.000004,0.410000
0.000000,-0.000007,0.420000
0.000000,-0.000009,0.430000
0.000000,-0.000006,0.440000
0.000000,0.000002,0.450000
0.000000,-0.000002,0.460000
0.000000,0.000004,0.470000
0.000000,0.000002,0.480000
0.000000,-0.000004,0.490000
0.000597,0.000005,0.500000
0.000699,-0.000001,0.510000
0.000817,0.000009,0.520000
0.000955,-0.000004,0.530000
0.001115,0.000013,0.540000
0.001301,0.000018,0.550000
0.001516,0.000021,0.560000
0.001765,0.000015,0.570000
0.002053,0.000019,0.580000
0.002383,0.000040,0.590000
0.002763,0.000050,0.600000
0.003196,0.000047,0.610000
0.003689,0.000070,0.620000
0.004247,0.000088,0.630000
0.004876,0.000105,0.640000
0.005579,0.000133,0.650000
0.006362,0.000156,0.660000
0.007226,0.000180,0.670000
0.008171,0.000228,0.680000
0.009196,0.000262,0.690000
0.010297,0.000305,0.700000
0.011467,0.000364,0.710000
0.012696,0.000432,0.720000
0.013973,0.000492,0.730000
0.015281,0.000585,0.740000
0.016607,0.000677,0.750000
0.017933,0.000776,0.760000
0.019242,0.000884,0.770000
0.020518,0.001019,0.780000
0.021747,0.001154,0.790000
0.022917,0.001316,0.800000
0.024018,0.001499,0.810000
0.025043,0.001677,0.820000
0.025989,0.001891,0.830000
0.026852,0.002099,0.840000
0.027635,0.002339,0.850000
0.028339,0.002601,0.860000
0.028968,0.002879,0.870000
0.029526,0.003172,0.880000
0.030019,0.003487,0.890000
0.030452,0.003837,0.900000
0.030831,0.004183,0.910000
0.031162,0.004550,0.920000
0.031449,0.004959,0.930000
0.031698,0.005379,0.940000
0.031914,0.005799,0.950000
