input,output,time
0.000000,-0.000010,0.000000
0.000000,-0.000007,0.010000
0.000000,0.000004,0.020000
0.000000,-0.000008,0.030000
0.000000,0.000008,0.040000
0.000000,0.000000,0.050000
0.000000,-0.000004,0.060000
0.000000,-0.000009,0.070000
0.000000,-0.000005,0.080000
0.000000,-0.000004,0.090000
0.000000,-0.000009,0.100000
0.000000,0.000001,0.110000
0.000000,-0.000000,0.120000
0.000000,-0.000006,0.130000
0.000000,0.000006,0.140000
0.000000,0.000009,0.150000
0.000000,0.000002,0.160000
0.000000,0.000006,0.170000
0.000000,0.000003,0.180000
0.000000,0.000001,0.190000
0.000000,0.000003,0.200000
0.000000,0.000006,0.210000
0.000000,0.000001,0.220000
0.000000,-0.000007,0.230000
0.000000,0.000003,0.240000
0.000000,-0.000010,0.250000
0.000000,-0.000001,0.260000
0.000000,0.000006,0.270000
0.000000,-0.000005,0.280000
0.000000,0.000003,0.290000
0.000000,0.000000,0.300000
0.000000,-0.000001,0.310000
0.000000,0.000003,0.320000
0.000000,-0.000001,0.330000
0.000000,-0.000002,0.340000
0.000000,0.000002,0.350000
0.000000,-0.000001,0.360000
0.000000,-0.000003,0.370000
0.000000,-0.000003,0.380000
0.000000,0.000009,0.390000
0.000000,0.000005,0.400000
0.000000,0.000005,0.410000
0.000000,-0.000007,0.420000
0.000000,-0.000003,0.430000
0.000000,-0.000006,0.440000
0.000000,-0.000005,0.450000
0.000000,0.000009,0.460000
0.000000,-0.000005,0.470000
0.000000,-0.000004,0.480000
0.000000,0.000010,0.490000
0.000597,0.000005,0.500000
0.000699,0.000008,0.510000
0.000817,0.000002,0.520000
0.000955,0.000007,0.530000
0.001115,0.000011,0.540000
0.001301,0.000012,0.550000
0.001516,0.000005,0.560000
0.001765,0.000018,0.570000
0.002053,0.000025,0.580000
0.002383,0.000037,0.590000
0.002763,0.000041,0.600000
0.003196,0.000060,0.610000
0.003689,0.000067,0.620000
0.004247,0.000075,0.630000
0.004876,0.000101,0.640000
0.005579,0.000132,0.650000
0.006362,0.000153,0.660000
0.007226,0.000182,0.670000
0.008171,0.000226,0.680000
0.009196,0.000257,0.690000
0.010297,0.000317,0.700000
0.011467,0.000375,0.710000
0.012696,0.000438,0.720000
0.013973,0.000502,0.730000
0.015281,0.000574,0.740000
0.016607,0.000675,0.750000
0.017933,0.000773,0.760000
0.019242,0.000888,0.770000
0.020518,0.001026,0.780000
0.021747,0.001165,0.790000
0.022917,0.001329,0.800000
0.024018,0.001495,0.810000
0.025043,0.001687,0.820000
0.025989,0.001884,0.830000
0.026852,0.002101,0.840000
0.027635,0.002349,0.850000
0.028339,0.002609,0.860000
0.028968,0.002885,0.870000
0.029526,0.003168,0.880000
0.030019,0.003490,0.890000
0.030452,0.003824,0.900000
0.030831,0.004181,0.910000
0.031162,0.004568,0.920000
0.031449,0.004955,0.930000
0.031698,0.005370,0.940000
0.031914,0.005809,0.950000
0.032099,0.006261,0.960000
0.032260,0.006738,0.970000
0.032397,0.007245,0.980000
0.032516,0.007776,0.990000
0.031691,0.008319,1.000000
0.031621,0.008878,1.010000
0.031512,0.009455,1.020000
0.031363,0.010055,1.030000
0.031169,0.010689,1.040000
0.030928,0.011343,1.050000
0.030634,0.011997,1.060000
0.030282,0.012692,1.070000
0.029866,0.013385,1.080000
0.029378,0.014110,1.090000
0.028812,0.014857,1.100000
0.028159,0.015609,1.110000
0.027410,0.016408,1.120000
0.026558,0.017195,1.130000
0.025595,0.018010,1.140000
0.024514,0.018852,1.150000
0.023310,0.019698,1.160000
0.021979,0.020556,1.170000
0.020520,0.021422,1.180000
0.018936,0.022309,1.190000
0.017235,0.023216,1.200000
0.015426,0.024131,1.210000
0.013525,0.025057,1.220000
0.011550,0.025972,1.230000
0.009524,0.026922,1.240000
0.007472,0.027859,1.250000
0.005419,0.028798,1.260000
0.003392,0.029750,1.270000
0.001416,0.030703,1.280000
-0.000487,0.031647,1.290000
-0.002299,0.032606,1.300000
-0.004004,0.033542,1.310000
-0.005592,0.034488,1.320000
-0.007056,0.035432,1.330000
-0.008394,0.036368,1.340000
-0.009606,0.037289,1.350000
-0.010696,0.038218,1.360000
-0.011670,0.039135,1.370000
-0.012535,0.040040,1.380000
-0.013298,0.040940,1.390000
-0.013969,0.041824,1.400000
-0.014557,0.042712,1.410000
-0.015069,0.043576,1.420000
-0.015514,0.044439,1.430000
-0.015900,0.045290,1.440000
-0.016234,0.046127,1.450000
-0.016522,0.046960,1.460000
-0.016770,0.047778,1.470000
-0.016983,0.048603,1.480000
-0.017166,0.049382,1.490000
-0.017302,0.050172,1.500000
-0.017433,0.050943,1.510000
-0.017544,0.051704,1.520000
-0.017638,0.052465,1.530000
-0.017716,0.053195,1.540000
-0.017782,0.053939,1.550000
-0.017836,0.054639,1.560000
-0.017879,0.055360,1.570000
-0.017914,0.056045,1.580000
-0.017940,0.056735,1.590000
-0.017960,0.057393,1.600000
-0.017972,0.058053,1.610000
-0.017978,0.058696,1.620000
-0.017978,0.059340,1.630000
-0.017973,0.059951,1.640000
-0.017962,0.060574,1.650000
-0.017947,0.061176,1.660000
-0.017926,0.061752,1.670000
-0.017901,0.062335,1.680000
-0.017872,0.062884,1.690000
-0.017839,0.063444,1.700000
-0.017803,0.063984,1.710000
-0.017763,0.064514,1.720000
-0.017721,0.065023,1.730000
-0.017678,0.065529,1.740000
-0.017633,0.066028,1.750000
-0.017588,0.066514,1.760000
-0.017543,0.066988,1.770000
-0.017498,0.067442,1.780000
-0.017456,0.067902,1.790000
-0.017415,0.068338,1.800000
-0.017376,0.068759,1.810000
-0.017340,0.069171,1.820000
-0.017307,0.069575,1.830000
-0.017277,0.069972,1.840000
-0.017249,0.070344,1.850000
-0.017224,0.070711,1.860000
-0.017202,0.071076,1.870000
-0.017182,0.071422,1.880000
-0.017165,0.071747,1.890000
-0.017149,0.072081,1.900000
-0.017136,0.072386,1.910000
-0.017124,0.072698,1.920000
-0.017114,0.072994,1.930000
-0.017105,0.073267,1.940000
-0.017098,0.073540,1.950000
-0.017091,0.073787,1.960000
-0.017085,0.074042,1.970000
-0.017080,0.074276,1.980000
-0.017076,0.074498,1.990000
-0.016320,0.074711,2.000000
-0.016256,0.074912,2.010000
-0.016187,0.075106,2.020000
-0.016113,0.075271,2.030000
-0.016034,0.075455,2.040000
-0.015949,0.075608,2.050000
-0.015857,0.075761,2.060000
-0.015759,0.075901,2.070000
-0.015653,0.076023,2.080000
-0.015540,0.076144,2.090000
-0.015418,0.076249,2.100000
-0.015286,0.076363,2.110000
-0.015145,0.076439,2.120000
-0.014994,0.076525,2.130000
