input,output,time
0.000000,0.000010,0.000000
0.000000,-0.000003,0.010000
0.000000,0.000000,0.020000
0.000000,0.000005,0.030000
0.000000,0.000005,0.040000
0.000000,0.000003,0.050000
0.000000,0.000008,0.060000
0.000000,0.000005,0.070000
0.000000,0.000001,0.080000
0.000000,-0.000008,0.090000
0.000000,-0.000003,0.100000
0.000000,-0.000003,0.110000
0.000000,0.000003,0.120000
0.000000,-0.000007,0.130000
0.000000,0.000007,0.140000
0.000000,0.000003,0.150000
0.000000,0.000001,0.160000
0.000000,0.000003,0.170000
0.000000,0.000006,0.180000
0.000000,0.000009,0.190000
0.000000,-0.000008,0.200000
0.000000,-0.000001,0.210000
0.000000,0.000005,0.220000
0.000000,-0.000001,0.230000
0.000000,0.000004,0.240000
0.000000,0.000000,0.250000
0.000000,0.000003,0.260000
0.000000,-0.000002,0.270000
0.000000,-0.000000,0.280000
0.000000,0.000008,0.290000
0.000000,0.000007,0.300000
0.000000,-0.000006,0.310000
0.000000,0.000008,0.320000
0.000000,-0.000007,0.330000
0.000000,-0.000010,0.340000
0.000000,0.000008,0.350000
0.000000,-0.000000,0.360000
0.000000,-0.000009,0.370000
0.000000,0.000007,0.380000
0.000000,-0.000004,0.390000
0.000000,0.000004,0.400000
0.000000,-0.000008,0.410000
0.000000,0.000005,0.420000
0.000000,0.000003,0.430000
0.000000,0.000003,0.440000
0.000000,0.000005,0.450000
0.000000,-0.000008,0.460000
0.000000,0.000005,0.470000
0.000000,0.000001,0.480000
0.000000,-0.000002,0.490000
0.000597,-0.000008,0.500000
0.000699,0.000003,0.510000
0.000817,-0.000002,0.520000
0.000955,0.000009,0.530000
0.001115,0.000006,0.540000
0.001301,0.000000,0.550000
0.001516,0.000017,0.560000
0.001765,0.000013,0.570000
0.002053,0.000035,0.580000
0.002383,0.000034,0.590000
0.002763,0.000052,0.600000
0.003196,0.000055,0.610000
0.003689,0.000059,0.620000
0.004247,0.000083,0.630000
0.004876,0.000094,0.640000
0.005579,0.000132,0.650000
0.006362,0.000145,0.660000
0.007226,0.000186,0.670000
0.008171,0.000216,0.680000
0.009196,0.000256,0.690000
0.010297,0.000317,0.700000
0.011467,0.000360,0.710000
0.012696,0.000426,0.720000
0.013973,0.000492,0.730000
0.015281,0.000585,0.740000
0.016607,0.000665,0.750000
0.017933,0.000773,0.760000
0.019242,0.000883,0.770000
0.020518,0.001027,0.780000
0.021747,0.001159,0.790000
0.022917,0.001321,0.800000
0.024018,0.001483,0.810000
0.025043,0.001670,0.820000
0.025989,0.001881,0.830000
