input,output,time
0.000000,-0.000006,0.000000
0.000000,-0.000002,0.010000
0.000000,-0.000004,0.020000
0.000000,0.000003,0.030000
0.000000,0.000010,0.040000
0.000000,-0.000009,0.050000
0.000000,-0.000007,0.060000
0.000000,0.000009,0.070000
0.000000,0.000007,0.080000
0.000000,0.000006,0.090000
0.000000,-0.000000,0.100000
0.000000,0.000006,0.110000
0.000000,-0.000003,0.120000
0.000000,-0.000001,0.130000
0.000000,0.000006,0.140000
0.000000,-0.000007,0.150000
0.000000,-0.000004,0.160000
0.000000,0.000006,0.170000
0.000000,0.000002,0.180000
0.000000,0.000009,0.190000
0.000000,0.000005,0.200000
0.000000,0.000004,0.210000
0.000000,0.000004,0.220000
0.000000,0.000005,0.230000
0.000000,0.000002,0.240000
0.000000,-0.000008,0.250000
0.000000,0.000001,0.260000
0.000000,-0.000006,0.270000
0.000000,0.000009,0.280000
0.000000,-0.000001,0.290000
0.000000,-0.000002,0.300000
0.000000,0.000007,0.310000
0.000000,0.000003,0.320000
0.000000,-0.000005,0.330000
0.000000,-0.000004,0.340000
0.000000,-0.000006,0.350000
0.000000,0.000008,0.360000
0.000000,0.000005,0.370000
0.000000,-0.000005,0.380000
0.000000,-0.000005,0.390000
0.000000,0.000001,0.400000
0.000000,-0.000010,0.410000
0.000000,-0.000008,0.420000
0.000000,0.000002,0.430000
0.000000,0.000004,0.440000
0.000000,0.000005,0.450000
0.000000,0.000004,0.460000
0.000000,0.000000,0.470000
0.000000,-0.000009,0.480000
0.000000,0.000002,0.490000
0.000597,0.000001,0.500000
0.000699,-0.000008,0.510000
0.000817,-0.000001,0.520000
0.000955,0.000010,0.530000
0.001115,-0.000002,0.540000
0.001301,0.000007,0.550000
0.001516,0.000021,0.560000
0.001765,0.000014,0.570000
0.002053,0.000024,0.580000
0.002383,0.000035,0.590000
0.002763,0.000039,0.600000
0.003196,0.000051,0.610000
0.003689,0.000058,0.620000
0.004247,0.000081,0.630000
0.004876,0.000103,0.640000
0.005579,0.000132,0.650000
0.006362,0.000152,0.660000
0.007226,0.000185,0.670000
0.008171,0.000227,0.680000
0.009196,0.000252,0.690000
0.010297,0.000308,0.700000
0.011467,0.000364,0.710000
0.012696,0.000421,0.720000
0.013973,0.000498,0.730000
0.015281,0.000578,0.740000
0.016607,0.000667,0.750000
0.017933,0.000770,0.760000
0.019242,0.000897,0.770000
0.020518,0.001029,0.780000
0.021747,0.001166,0.790000
0.022917,0.001326,0.800000
0.024018,0.001489,0.810000
0.025043,0.001676,0.820000
0.025989,0.001880,0.830000
0.026852,0.002110,0.840000
0.027635,0.002354,0.850000
0.028339,0.002613,0.860000
0.028968,0.002875,0.870000
0.029526,0.003180,0.880000
0.030019,0.003482,0.890000
0.030452,0.003836,0.900000
0.030831,0.004183,0.910000
0.031162,0.004557,0.920000
0.031449,0.004947,0.930000
0.031698,0.005379,0.940000
0.031914,0.005805,0.950000
0.032099,0.006273,0.960000
0.032260,0.006750,0.970000
0.032397,0.007245,0.980000
0.032516,0.007772,0.990000
0.031691,0.008316,1.000000
0.031663,0.008882,1.010000
0.031607,0.009455,1.020000
0.031526,0.010062,1.030000
0.031417,0.010692,1.040000
0.031281,0.011335,1.050000
0.031117,0.012008,1.060000
0.030923,0.012689,1.070000
0.030697,0.013392,1.080000
0.030437,0.014111,1.090000
0.030142,0.014866,1.100000
0.029808,0.015627,1.110000
0.029433,0.016415,1.120000
0.029013,0.017226,1.130000
0.028545,0.018042,1.140000
0.028026,0.018896,1.150000
0.027452,0.019756,1.160000
0.026820,0.020634,1.170000
0.026127,0.021514,1.180000
0.025370,0.022432,1.190000
0.024545,0.023362,1.200000
0.023651,0.024301,1.210000
0.022686,0.025260,1.220000
0.021649,0.026229,1.230000
0.020541,0.027222,1.240000
0.019363,0.028221,1.250000
0.018117,0.029241,1.260000
0.016808,0.030267,1.270000
0.015440,0.031294,1.280000
0.014020,0.032335,1.290000
0.012557,0.033399,1.300000
0.011058,0.034463,1.310000
0.009533,0.035524,1.320000
0.007994,0.036602,1.330000
0.006451,0.037679,1.340000
0.004916,0.038758,1.350000
