input,output,derivada,time
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.010000
0.000000,-0.000000,-0.000000,0.020000
0.000000,-0.000000,-0.000000,0.030000
0.000000,0.000002,0.000196,0.040000
0.000000,0.000006,0.000392,0.050000
0.000001,0.000008,0.000196,0.060000
0.000001,0.000008,-0.000000,0.070000
0.000001,0.000006,-0.000196,0.080000
0.000001,0.000006,-0.000000,0.090000
0.000001,0.000008,0.000196,0.100000
0.000001,0.000012,0.000392,0.110000
0.000001,0.000014,0.000196,0.120000
0.000002,0.000014,-0.000000,0.130000
0.000002,0.000012,-0.000197,0.140000
0.000002,0.000012,-0.000000,0.150000
0.000003,0.000014,0.000196,0.160000
0.000003,0.000018,0.000392,0.170000
0.000004,0.000020,0.000195,0.180000
0.000004,0.000020,-0.000001,0.190000
0.000005,0.000018,-0.000197,0.200000
0.000006,0.000018,-0.000001,0.210000
0.000007,0.000020,0.000195,0.220000
0.000008,0.000023,0.000390,0.230000
0.000009,0.000025,0.000194,0.240000
0.000011,0.000025,-0.000003,0.250000
0.000013,0.000023,-0.000199,0.260000
0.000015,0.000023,-0.000004,0.270000
0.000018,0.000025,0.000192,0.280000
0.000021,0.000029,0.000387,0.290000
0.000025,0.000031,0.000190,0.300000
0.000029,0.000031,-0.000007,0.310000
0.000034,0.000029,-0.000204,0.320000
0.000040,0.000029,-0.000009,0.330000
0.000047,0.000031,0.000185,0.340000
0.000055,0.000034,0.000379,0.350000
0.000065,0.000036,0.000181,0.360000
0.000076,0.000036,-0.000018,0.370000
0.000089,0.000034,-0.000217,0.380000
0.000104,0.000034,-0.000025,0.390000
0.000122,0.000035,0.000167,0.400000
0.000143,0.000039,0.000358,0.410000
0.000168,0.000040,0.000156,0.420000
0.000197,0.000040,-0.000047,0.430000
0.000231,0.000037,-0.000251,0.440000
0.000271,0.000037,-0.000065,0.450000
0.000318,0.000038,0.000120,0.460000
0.000372,0.000041,0.000303,0.470000
0.000436,0.000042,0.000092,0.480000
0.000510,0.000041,-0.000122,0.490000
0.000597,0.000037,-0.000340,0.500000
0.000699,0.000036,-0.000169,0.510000
0.000817,0.000036,-0.000002,0.520000
0.000954,0.000037,0.000160,0.530000
0.001114,0.000040,0.000316,0.540000
0.001300,0.000041,0.000073,0.550000
0.001515,0.000039,-0.000179,0.560000
0.001764,0.000035,-0.000439,0.570000
0.002052,0.000032,-0.000319,0.580000
0.002382,0.000030,-0.000212,0.590000
0.002761,0.000028,-0.000120,0.600000
0.003194,0.000028,-0.000045,0.610000
0.003687,0.000028,0.000008,0.620000
0.004244,0.000028,0.000038,0.630000
0.004873,0.000025,-0.000352,0.640000
0.005576,0.000017,-0.000774,0.650000
0.006358,0.000009,-0.000841,0.660000
0.007221,-0.000001,-0.000951,0.670000
0.008166,-0.000012,-0.001108,0.680000
0.009190,-0.000025,-0.001321,0.690000
0.010290,-0.000041,-0.001594,0.700000
0.011458,-0.000060,-0.001936,0.710000
0.012686,-0.000084,-0.002354,0.720000
0.013960,-0.000112,-0.002852,0.730000
0.015267,-0.000147,-0.003439,0.740000
0.016590,-0.000188,-0.004119,0.750000
0.017913,-0.000237,-0.004896,0.760000
0.019218,-0.000295,-0.005771,0.770000
0.020490,-0.000362,-0.006746,0.780000
0.021715,-0.000440,-0.007820,0.790000
0.022879,-0.000530,-0.008990,0.800000
0.023973,-0.000633,-0.010251,0.810000
0.024991,-0.000749,-0.011598,0.820000
0.025927,-0.000879,-0.013024,0.830000
0.026780,-0.001024,-0.014522,0.840000
0.027550,-0.001185,-0.016085,0.850000
0.028239,-0.001362,-0.017705,0.860000
0.028850,-0.001556,-0.019375,0.870000
0.029388,-0.001767,-0.021089,0.880000
0.029857,-0.001995,-0.022840,0.890000
0.030262,-0.002241,-0.024623,0.900000
0.030609,-0.002506,-0.026433,0.910000
0.030901,-0.002788,-0.028265,0.920000
0.031143,-0.003089,-0.030116,0.930000
0.031340,-0.003409,-0.031983,0.940000
0.031494,-0.003748,-0.033862,0.950000
0.031607,-0.004105,-0.035750,0.960000
0.031683,-0.004482,-0.037647,0.970000
0.031722,-0.004877,-0.039548,0.980000
0.031725,-0.005292,-0.041453,0.990000
0.031692,-0.005725,-0.043359,1.000000
0.031621,-0.006178,-0.045265,1.010000
0.031513,-0.006650,-0.047169,1.020000
0.031363,-0.007141,-0.049069,1.030000
0.031170,-0.007650,-0.050963,1.040000
0.030928,-0.008179,-0.052850,1.050000
