input,output,time
0.000647,0.000000,0.000000
0.000820,0.000025,0.100000
0.001033,0.000104,0.200000
0.001294,0.000250,0.300000
0.001612,0.000480,0.400000
0.001998,0.000814,0.500000
0.002465,0.001275,0.600000
0.003027,0.001890,0.700000
0.003700,0.002691,0.800000
0.004499,0.003719,0.900000
0.005441,0.005017,1.000000
0.006543,0.006639,1.100000
0.007818,0.008649,1.200000
0.009277,0.011119,1.300000
0.010926,0.014132,1.400000
0.012762,0.017783,1.500000
0.014774,0.022176,1.600000
0.016941,0.027422,1.700000
0.019231,0.033642,1.800000
0.021601,0.040961,1.900000
0.024003,0.049506,2.000000
0.026383,0.059404,2.100000
0.028687,0.070777,2.200000
0.030866,0.083738,2.300000
0.032877,0.098392,2.400000
0.034685,0.114829,2.500000
0.036268,0.133122,2.600000
0.037611,0.153333,2.700000
0.038709,0.175501,2.800000
0.039564,0.199653,2.900000
0.040183,0.225797,3.000000
0.040574,0.253927,3.100000
0.040748,0.284022,3.200000
0.040716,0.316046,3.300000
0.040485,0.349953,3.400000
0.040066,0.385684,3.500000
0.039462,0.423169,3.600000
0.038677,0.462328,3.700000
0.037713,0.503070,3.800000
0.036569,0.545297,3.900000
0.035243,0.588900,4.000000
0.033733,0.633761,4.100000
0.032035,0.679752,4.200000
0.030147,0.726737,4.300000
0.028068,0.774571,4.400000
0.025800,0.823100,4.500000
0.023346,0.872160,4.600000
0.020716,0.921580,4.700000
0.017923,0.971182,4.800000
0.014982,1.020781,4.900000
0.011915,1.070186,5.000000
0.008744,1.119205,5.100000
0.005494,1.167640,5.200000
0.002190,1.215296,5.300000
-0.001146,1.261977,5.400000
-0.004490,1.307491,5.500000
-0.007823,1.351648,5.600000
-0.011127,1.394264,5.700000
-0.014386,1.435163,5.800000
-0.017584,1.474174,5.900000
-0.020708,1.511134,6.000000
-0.023745,1.545889,6.100000
-0.026682,1.578295,6.200000
-0.029505,1.608217,6.300000
-0.032204,1.635531,6.400000
-0.034765,1.660123,6.500000
-0.037177,1.681891,6.600000
-0.039428,1.700747,6.700000
-0.041508,1.716612,6.800000
-0.043406,1.729422,6.900000
-0.045112,1.739126,7.000000
-0.046618,1.745688,7.100000
-0.047917,1.749082,7.200000
-0.049000,1.749299,7.300000
-0.049862,1.746283,7.400000
-0.050496,1.739903,7.500000
-0.050898,1.730037,7.600000
-0.051062,1.716574,7.700000
-0.050986,1.699419,7.800000
-0.050665,1.678487,7.900000
-0.050097,1.653710,8.000000
-0.049279,1.625034,8.100000
-0.048209,1.592419,8.200000
-0.046887,1.555842,8.300000
-0.045311,1.515294,8.400000
-0.043484,1.470786,8.500000
-0.041407,1.422343,8.600000
-0.039082,1.370008,8.700000
-0.036515,1.313842,8.800000
-0.033713,1.253921,8.900000
-0.030682,1.190341,9.000000
-0.027435,1.123215,9.100000
-0.023983,1.052672,9.200000
-0.020342,0.978858,9.300000
-0.016528,0.901935,9.400000
-0.012560,0.822080,9.500000
-0.008459,0.739486,9.600000
-0.004249,0.654357,9.700000
0.000045,0.566911,9.800000
0.004400,0.477376,9.900000
0.008787,0.385990,10.000000
0.013180,0.292998,10.100000
0.017553,0.198652,10.200000
0.021881,0.103208,10.300000
0.026137,0.006927,10.400000
0.030301,-0.089931,10.500000
0.034349,-0.187104,10.600000
0.038264,-0.284332,10.700000
0.042028,-0.381357,10.800000
0.045628,-0.477927,10.900000
0.049054,-0.573791,11.000000
0.052295,-0.668707,11.100000
0.055347,-0.762437,11.200000
0.058207,-0.854753,11.300000
0.060873,-0.945430,11.400000
0.063346,-1.034254,11.500000
0.065630,-1.121017,11.600000
0.067729,-1.205518,11.700000
0.069649,-1.287565,11.800000
0.071398,-1.366973,11.900000
0.072984,-1.443563,12.000000
0.074415,-1.517162,12.100000
0.075700,-1.587606,12.200000
0.076849,-1.654733,12.300000
0.077871,-1.718390,12.400000
0.078774,-1.778425,12.500000
0.079569,-1.834692,12.600000
0.080262,-1.887049,12.700000
0.080863,-1.935358,12.800000
0.081378,-1.979482,12.900000
0.081814,-2.019287,13.000000
0.082177,-2.054642,13.100000
0.082472,-2.085415,13.200000
0.082705,-2.111480,13.300000
0.082879,-2.132708,13.400000
0.082998,-2.148971,13.500000
0.083064,-2.160145,13.600000
0.083080,-2.166104,13.700000
0.083046,-2.166722,13.800000
0.082965,-2.161971,13.900000
0.082837,-2.151970,14.000000
0.082660,-2.136850,14.100000
0.082436,-2.116742,14.200000
0.082161,-2.091778,14.300000
0.081836,-2.062087,14.400000
0.081458,-2.027801,14.500000
0.081023,-1.989053,14.600000
0.080530,-1.945974,14.700000
0.079974,-1.898697,14.800000
0.079351,-1.847356,14.900000
0.078658,-1.792087,15.000000
0.077890,-1.733025,15.100000
0.077040,-1.670309,15.200000
0.076104,-1.604080,15.300000
0.075076,-1.534479,15.400000
0.073949,-1.461652,15.500000
0.072718,-1.385747,15.600000
0.071375,-1.306916,15.700000
0.069913,-1.225314,15.800000
0.068327,-1.141100,15.900000
0.066608,-1.054438,16.000000
0.064752,-0.965496,16.100000
0.062751,-0.874448,16.200000
