input,output,derivada,time
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.010000
0.000000,-0.000000,-0.000000,0.020000
0.000000,-0.000000,-0.000000,0.030000
0.000000,0.000002,0.000196,0.040000
0.000000,0.000006,0.000392,0.050000
0.000001,0.000008,0.000196,0.060000
0.000001,0.000008,-0.000000,0.070000
0.000001,0.000006,-0.000196,0.080000
0.000001,0.000006,-0.000000,0.090000
0.000001,0.000008,0.000196,0.100000
0.000001,0.000012,0.000392,0.110000
0.000001,0.000014,0.000196,0.120000
0.000002,0.000014,-0.000000,0.130000
0.000002,0.000012,-0.000197,0.140000
0.000002,0.000012,-0.000000,0.150000
0.000003,0.000014,0.000196,0.160000
0.000003,0.000018,0.000392,0.170000
0.000004,0.000020,0.000195,0.180000
0.000004,0.000020,-0.000001,0.190000
0.000005,0.000018,-0.000197,0.200000
0.000006,0.000018,-0.000001,0.210000
0.000007,0.000020,0.000195,0.220000
0.000008,0.000023,0.000390,0.230000
0.000009,0.000025,0.000194,0.240000
0.000011,0.000025,-0.000003,0.250000
0.000013,0.000023,-0.000199,0.260000
0.000015,0.000023,-0.000004,0.270000
0.000018,0.000025,0.000192,0.280000
0.000021,0.000029,0.000387,0.290000
0.000025,0.000031,0.000190,0.300000
0.000029,0.000031,-0.000007,0.310000
0.000034,0.000029,-0.000204,0.320000
0.000040,0.000029,-0.000009,0.330000
0.000047,0.000031,0.000185,0.340000
0.000055,0.000034,0.000379,0.350000
0.000064,0.000036,0.000181,0.360000
0.000075,0.000036,-0.000018,0.370000
0.000088,0.000034,-0.000217,0.380000
0.000104,0.000034,-0.000025,0.390000
0.000122,0.000035,0.000167,0.400000
0.000143,0.000039,0.000358,0.410000
0.000167,0.000040,0.000156,0.420000
0.000196,0.000040,-0.000047,0.430000
0.000230,0.000038,-0.000251,0.440000
0.000270,0.000037,-0.000064,0.450000
0.000316,0.000038,0.000121,0.460000
0.000371,0.000041,0.000304,0.470000
0.000434,0.000042,0.000092,0.480000
0.000508,0.000041,-0.000122,0.490000
0.000595,0.000037,-0.000339,0.500000
0.000696,0.000036,-0.000168,0.510000
0.000814,0.000036,-0.000001,0.520000
0.000952,0.000037,0.000161,0.530000
0.001111,0.000041,0.000317,0.540000
0.001297,0.000041,0.000074,0.550000
0.001512,0.000040,-0.000177,0.560000
0.001760,0.000035,-0.000438,0.570000
0.002047,0.000032,-0.000317,0.580000
0.002377,0.000030,-0.000210,0.590000
0.002755,0.000029,-0.000117,0.600000
0.003187,0.000028,-0.000043,0.610000
0.003679,0.000028,0.000011,0.620000
0.004236,0.000029,0.000042,0.630000
0.004863,0.000025,-0.000348,0.640000
0.005566,0.000018,-0.000770,0.650000
0.006346,0.000009,-0.000836,0.660000
0.007208,-0.000000,-0.000945,0.670000
0.008151,-0.000011,-0.001102,0.680000
0.009174,-0.000024,-0.001314,0.690000
0.010272,-0.000040,-0.001587,0.700000
0.011438,-0.000060,-0.001928,0.710000
0.012664,-0.000083,-0.002344,0.720000
0.013936,-0.000111,-0.002842,0.730000
0.015240,-0.000146,-0.003427,0.740000
0.016561,-0.000187,-0.004105,0.750000
0.017881,-0.000235,-0.004880,0.760000
0.019183,-0.000293,-0.005754,0.770000
0.020451,-0.000360,-0.006728,0.780000
0.021672,-0.000438,-0.007799,0.790000
0.022832,-0.000528,-0.008967,0.800000
0.023922,-0.000630,-0.010225,0.810000
0.024935,-0.000746,-0.011569,0.820000
0.025867,-0.000876,-0.012992,0.830000
0.026715,-0.001021,-0.014487,0.840000
0.027480,-0.001181,-0.016046,0.850000
0.028165,-0.001358,-0.017662,0.860000
0.028771,-0.001551,-0.019328,0.870000
0.029304,-0.001761,-0.021037,0.880000
0.029769,-0.001989,-0.022782,0.890000
0.030171,-0.002235,-0.024560,0.900000
0.030514,-0.002499,-0.026363,0.910000
0.030804,-0.002780,-0.028189,0.920000
0.031047,-0.003081,-0.030034,0.930000
0.031245,-0.003400,-0.031893,0.940000
0.031403,-0.003737,-0.033764,0.950000
0.031524,-0.004094,-0.035645,0.960000
0.031612,-0.004469,-0.037534,0.970000
0.031668,-0.004863,-0.039427,0.980000
0.031695,-0.005277,-0.041324,0.990000
0.031693,-0.005709,-0.043223,1.000000
0.031665,-0.006160,-0.045122,1.010000
0.031610,-0.006630,-0.047019,1.020000
0.031528,-0.007119,-0.048914,1.030000
0.031420,-0.007627,-0.050805,1.040000
0.031284,-0.008154,-0.052691,1.050000
