input,output,derivada,time
-0.000057,0.000000,0.000000,0.000000
-0.000060,-0.000000,-0.000004,0.010000
-0.000064,-0.000000,-0.000008,0.020000
-0.000068,-0.000000,-0.000012,0.030000
-0.000072,-0.000000,-0.000017,0.040000
-0.000076,-0.000001,-0.000022,0.050000
-0.000081,-0.000001,-0.000027,0.060000
-0.000086,-0.000001,-0.000032,0.070000
-0.000091,-0.000002,-0.000038,0.080000
-0.000096,-0.000002,-0.000044,0.090000
-0.000102,-0.000003,-0.000051,0.100000
-0.000109,-0.000003,-0.000057,0.110000
-0.000115,-0.000004,-0.000065,0.120000
-0.000122,-0.000004,-0.000072,0.130000
-0.000130,-0.000005,-0.000081,0.140000
-0.000137,-0.000006,-0.000089,0.150000
-0.000146,-0.000007,-0.000099,0.160000
-0.000155,-0.000008,-0.000109,0.170000
-0.000164,-0.000009,-0.000119,0.180000
-0.000174,-0.000011,-0.000130,0.190000
-0.000184,-0.000012,-0.000142,0.200000
-0.000195,-0.000014,-0.000154,0.210000
-0.000207,-0.000015,-0.000167,0.220000
-0.000219,-0.000017,-0.000181,0.230000
-0.000233,-0.000019,-0.000196,0.240000
-0.000246,-0.000021,-0.000212,0.250000
-0.000261,-0.000024,-0.000228,0.260000
-0.000277,-0.000026,-0.000246,0.270000
-0.000293,-0.000029,-0.000264,0.280000
-0.000310,-0.000031,-0.000284,0.290000
-0.000328,-0.000035,-0.000305,0.300000
-0.000348,-0.000038,-0.000327,0.310000
-0.000368,-0.000041,-0.000350,0.320000
-0.000390,-0.000045,-0.000375,0.330000
-0.000412,-0.000049,-0.000401,0.340000
-0.000436,-0.000053,-0.000429,0.350000
-0.000461,-0.000058,-0.000459,0.360000
-0.000488,-0.000063,-0.000490,0.370000
-0.000516,-0.000068,-0.000522,0.380000
-0.000545,-0.000074,-0.000557,0.390000
-0.000576,-0.000080,-0.000594,0.400000
-0.000608,-0.000086,-0.000632,0.410000
-0.000642,-0.000093,-0.000673,0.420000
-0.000678,-0.000100,-0.000716,0.430000
-0.000716,-0.000107,-0.000762,0.440000
-0.000755,-0.000116,-0.000810,0.450000
-0.000796,-0.000124,-0.000861,0.460000
-0.000840,-0.000133,-0.000914,0.470000
-0.000885,-0.000143,-0.000971,0.480000
-0.000932,-0.000153,-0.001030,0.490000
