input,output,derivada,time
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.010000
0.000000,0.000000,0.000000,0.020000
0.000000,0.000000,0.000000,0.030000
0.000000,0.000000,0.000000,0.040000
0.000000,0.000000,0.000000,0.050000
0.000000,0.000000,0.000000,0.060000
0.000000,0.000000,0.000000,0.070000
0.000000,0.000000,0.000000,0.080000
0.000000,0.000000,0.000000,0.090000
0.000000,0.000000,0.000000,0.100000
0.000000,0.000000,0.000000,0.110000
0.000000,0.000000,0.000000,0.120000
0.000000,0.000000,0.000000,0.130000
0.000000,0.000000,0.000000,0.140000
0.000000,0.000000,0.000000,0.150000
0.000000,0.000000,0.000000,0.160000
0.000000,0.000000,0.000000,0.170000
0.000000,0.000000,0.000000,0.180000
0.000000,0.000000,0.000000,0.190000
0.000000,0.000000,0.000000,0.200000
0.000000,0.000000,0.000000,0.210000
0.000000,0.000000,0.000000,0.220000
0.000000,0.000000,0.000000,0.230000
0.000000,0.000000,0.000000,0.240000
0.000000,0.000000,0.000000,0.250000
0.000000,0.000000,0.000000,0.260000
0.000000,0.000000,0.000000,0.270000
0.000000,0.000000,0.000000,0.280000
0.000000,0.000000,0.000000,0.290000
0.000000,0.000000,0.000000,0.300000
0.000000,0.000000,0.000000,0.310000
0.000000,0.000000,0.000000,0.320000
0.000000,0.000000,0.000000,0.330000
0.000000,0.000000,0.000000,0.340000
0.000000,0.000000,0.000000,0.350000
0.000000,0.000000,0.000000,0.360000
0.000000,0.000000,0.000000,0.370000
0.000000,0.000000,0.000000,0.380000
0.000000,0.000000,0.000000,0.390000
0.000000,0.000000,0.000000,0.400000
0.000000,0.000000,0.000000,0.410000
0.000000,0.000000,0.000000,0.420000
0.000000,0.000000,0.000000,0.430000
0.000000,0.000000,0.000000,0.440000
0.000000,0.000000,0.000000,0.450000
0.000000,0.000000,0.000000,0.460000
0.000000,0.000000,0.000000,0.470000
0.000000,0.000000,0.000000,0.480000
0.000000,0.000000,0.000000,0.490000
0.000077,0.000000,0.000003,0.500000
0.000090,0.000000,0.000008,0.510000
0.000105,0.000000,0.000014,0.520000
0.000123,0.000000,0.000022,0.530000
0.000144,0.000001,0.000031,0.540000
0.000168,0.000001,0.000041,0.550000
0.000195,0.000002,0.000053,0.560000
0.000228,0.000002,0.000066,0.570000
0.000265,0.000003,0.000083,0.580000
0.000307,0.000004,0.000101,0.590000
0.000356,0.000005,0.000123,0.600000
0.000412,0.000007,0.000148,0.610000
0.000475,0.000009,0.000177,0.620000
0.000547,0.000011,0.000210,0.630000
0.000628,0.000013,0.000249,0.640000
0.000719,0.000016,0.000293,0.650000
0.000820,0.000020,0.000343,0.660000
0.000931,0.000024,0.000401,0.670000
0.001053,0.000028,0.000465,0.680000
0.001185,0.000034,0.000539,0.690000
0.001327,0.000040,0.000621,0.700000
0.001478,0.000047,0.000712,0.710000
0.001637,0.000055,0.000814,0.720000
0.001801,0.000064,0.000927,0.730000
0.001970,0.000075,0.001050,0.740000
0.002141,0.000087,0.001184,0.750000
0.002312,0.000100,0.001330,0.760000
0.002480,0.000115,0.001486,0.770000
0.002645,0.000131,0.001654,0.780000
0.002803,0.000150,0.001832,0.790000
0.002954,0.000170,0.002020,0.800000
0.003096,0.000192,0.002218,0.810000
0.003228,0.000216,0.002425,0.820000
0.003350,0.000243,0.002640,0.830000
0.003461,0.000271,0.002863,0.840000
0.003562,0.000302,0.003092,0.850000
0.003653,0.000336,0.003328,0.860000
0.003734,0.000371,0.003570,0.870000
0.003806,0.000410,0.003816,0.880000
0.003870,0.000450,0.004067,0.890000
0.003925,0.000493,0.004322,0.900000
0.003974,0.000539,0.004580,0.910000
0.004017,0.000588,0.004841,0.920000
0.004054,0.000639,0.005105,0.930000
0.004086,0.000692,0.005371,0.940000
0.004114,0.000749,0.005639,0.950000
0.004138,0.000808,0.005909,0.960000
0.004158,0.000870,0.006180,0.970000
0.004176,0.000934,0.006453,0.980000
0.004191,0.001001,0.006726,0.990000
0.004071,0.001071,0.006996,1.000000
0.004059,0.001144,0.007262,1.010000
0.004042,0.001219,0.007527,1.020000
0.004020,0.001297,0.007790,1.030000
0.003991,0.001378,0.008052,1.040000
0.003955,0.001461,0.008312,1.050000
0.003912,0.001547,0.008569,1.060000
0.003861,0.001635,0.008823,1.070000
0.003800,0.001725,0.009074,1.080000
0.003729,0.001819,0.009320,1.090000
0.003647,0.001914,0.009561,1.100000
0.003552,0.002012,0.009796,1.110000
