input,output,derivada,time
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.010000
0.000000,0.000000,0.000000,0.020000
0.000000,0.000000,0.000000,0.030000
0.000000,0.000000,0.000000,0.040000
0.000000,0.000000,0.000000,0.050000
0.000000,0.000000,0.000000,0.060000
0.000000,0.000000,0.000000,0.070000
0.000000,0.000000,0.000000,0.080000
0.000000,0.000000,0.000000,0.090000
0.000000,0.000000,0.000000,0.100000
0.000000,0.000000,0.000000,0.110000
0.000000,0.000000,0.000000,0.120000
0.000000,0.000000,0.000000,0.130000
0.000000,0.000000,0.000000,0.140000
0.000000,0.000000,0.000000,0.150000
0.000000,0.000000,0.000000,0.160000
0.000000,0.000000,0.000000,0.170000
0.000000,0.000000,0.000000,0.180000
0.000000,0.000000,0.000000,0.190000
0.000000,0.000000,0.000000,0.200000
0.000000,0.000000,0.000000,0.210000
0.000000,0.000000,0.000000,0.220000
0.000000,0.000000,0.000000,0.230000
0.000000,0.000000,0.000000,0.240000
0.000000,0.000000,0.000000,0.250000
0.000000,0.000000,0.000000,0.260000
0.000000,0.000000,0.000000,0.270000
0.000000,0.000000,0.000000,0.280000
0.000000,0.000000,0.000000,0.290000
0.000000,0.000000,0.000000,0.300000
0.000000,0.000000,0.000000,0.310000
0.000000,0.000000,0.000000,0.320000
0.000000,0.000000,0.000000,0.330000
0.000000,0.000000,0.000000,0.340000
0.000000,0.000000,0.000000,0.350000
0.000000,0.000000,0.000000,0.360000
0.000000,0.000000,0.000000,0.370000
0.000000,0.000000,0.000000,0.380000
0.000000,0.000000,0.000000,0.390000
0.000000,0.000000,0.000000,0.400000
0.000000,0.000000,0.000000,0.410000
0.000000,0.000000,0.000000,0.420000
0.000000,0.000000,0.000000,0.430000
0.000000,0.000000,0.000000,0.440000
0.000000,0.000000,0.000000,0.450000
0.000000,0.000000,0.000000,0.460000
0.000000,0.000000,0.000000,0.470000
0.000000,0.000000,0.000000,0.480000
0.000000,0.000000,0.000000,0.490000
0.000597,0.000000,0.000020,0.500000
0.000699,0.000001,0.000062,0.510000
0.000817,0.000002,0.000111,0.520000
0.000955,0.000004,0.000169,0.530000
0.001115,0.000006,0.000237,0.540000
0.001301,0.000009,0.000316,0.550000
0.001516,0.000013,0.000408,0.560000
0.001765,0.000018,0.000515,0.570000
0.002053,0.000025,0.000640,0.580000
0.002383,0.000033,0.000785,0.590000
0.002763,0.000042,0.000953,0.600000
0.003196,0.000054,0.001148,0.610000
0.003689,0.000067,0.001373,0.620000
0.004247,0.000084,0.001633,0.630000
0.004876,0.000103,0.001931,0.640000
0.005579,0.000126,0.002273,0.650000
0.006362,0.000152,0.002663,0.660000
0.007226,0.000183,0.003107,0.670000
0.008171,0.000220,0.003610,0.680000
0.009196,0.000261,0.004178,0.690000
0.010297,0.000309,0.004815,0.700000
0.011467,0.000365,0.005527,0.710000
0.012696,0.000428,0.006317,0.720000
0.013973,0.000500,0.007189,0.730000
0.015281,0.000581,0.008145,0.740000
0.016607,0.000673,0.009187,0.750000
0.017933,0.000776,0.010316,0.760000
0.019242,0.000892,0.011532,0.770000
0.020518,0.001020,0.012831,0.780000
0.021747,0.001162,0.014213,0.790000
0.022917,0.001319,0.015673,0.800000
0.024018,0.001491,0.017207,0.810000
0.025043,0.001679,0.018811,0.820000
0.025989,0.001884,0.020479,0.830000
0.026852,0.002106,0.022206,0.840000
0.027635,0.002346,0.023987,0.850000
0.028339,0.002604,0.025817,0.860000
0.028968,0.002881,0.027690,0.870000
0.029526,0.003177,0.029602,0.880000
0.030019,0.003492,0.031548,0.890000
0.030452,0.003828,0.033524,0.900000
0.030831,0.004183,0.035527,0.910000
0.031162,0.004558,0.037553,0.920000
0.031449,0.004954,0.039600,0.930000
0.031698,0.005371,0.041664,0.940000
0.031914,0.005808,0.043743,0.950000
0.032099,0.006267,0.045835,0.960000
0.032260,0.006746,0.047938,0.970000
0.032397,0.007247,0.050052,0.980000
0.032516,0.007768,0.052173,0.990000
0.031691,0.008311,0.054272,1.000000
0.031621,0.008874,0.056341,1.010000
0.031512,0.009459,0.058405,1.020000
0.031363,0.010063,0.060460,1.030000
0.031169,0.010688,0.062503,1.040000
0.030928,0.011333,0.064533,1.050000
0.030634,0.011999,0.066545,1.060000
0.030282,0.012684,0.068536,1.070000
0.029866,0.013389,0.070502,1.080000
0.029378,0.014114,0.072438,1.090000
0.028812,0.014857,0.074340,1.100000
0.028159,0.015619,0.076203,1.110000
