t,v
0,2.5
0.1,2.6248959373947
0.2,2.74916998656239
0.3,2.872212584058295
0.4,2.99343830056226
0.5,3.112296656009273
0.6000000000000001,3.228281531128978
0.7000000000000001,3.340938860840831
0.8,3.449872405638063
0.9,3.55474751312502
1,3.655292893150025
1.1,3.751300527975589
1.2,3.842623917495089
1.3,3.929174915212794
1.4,4.01091944279291
1.5,4.087872380968219
1.6,4.160091925669623
1.7,4.227673674582327
1.8,4.290744675497562
1.9,4.349457628185012
2,4.403985389889413
2.1,4.454515894021936
2.2,4.501247554401576
2.3,4.544385194925721
2.4,4.58413651753039
2.5,4.620709099893785
2.6,4.654307898283268
2.7,4.68513321971502
2.8,4.713379120505659
2.9,4.739232184607914
3,4.76287063411217
3.1,4.784463725294573
3.2,4.804171386016182
3.3,4.822144053636824
3.4,4.838522676507752
3.5,4.853438846243224
3.6,4.867015032115676
3.7,4.87936489291166
3.8,4.890593645319354
3.9,4.900798471329621
4,4.910068950189551
4.100000000000001,4.918487503142805
4.2,4.926129841533646
4.3,4.933065410861687
4.4,4.939357825078641
4.5,4.945065286847049
4.600000000000001,4.950240990665494
4.7,4.954933506735777
4.800000000000001,4.959187144234219
4.9,4.963042293278611
5,4.966535745378599
5.100000000000001,4.969700992542105
5.2,4.972568505502776
5.300000000000001,4.975165991749746
5.4,4.977518634195329
5.5,4.979649311420558
5.600000000000001,4.981578800502862
5.7,4.983325963462979
5.800000000000001,4.98490791837651
5.9,4.986340196185002
6,4.987636884216889
6.100000000000001,4.988810757393687
6.2,4.989873398054827
6.300000000000001,4.990835305287621
6.4,4.991705994599221
6.5,4.992494088716418
6.600000000000001,4.99320740024797
6.7,4.993853006893739
6.800000000000001,4.994437319835838
6.9,4.994966145899726
7,4.995444744028168
7.100000000000001,4.995877876568197
7.2,4.996269855831025
7.300000000000001,4.996624586347067
7.4,4.996945603203082
7.5,4.997236106815663
7.600000000000001,4.997498994464912
7.7,4.99773688888414
7.800000000000001,4.997952164175449
7.9,4.998146969297287
8,4.998323249348131
8.1,4.998482764850367
8.200000000000001,4.998627109220058
8.300000000000001,4.998757724591427
8.4,4.998875916149523
8.5,4.998982865110487
8.6,4.999079640476027
8.700000000000001,4.999167209677045
8.800000000000001,4.999246448210732
8.9,4.999318148365741
9,4.999383027121327
9.1,4.999441733298243
9.200000000000001,4.999494854031998
9.300000000000001,4.999542920632437
9.4,4.999586413887619
9.5,4.999625768864521
9.600000000000001,4.999661379254194
9.700000000000001,4.99969360130445
9.800000000000001,4.999722757379186
9.9,4.999749139179675
10,4.999773010659908
10.1,4.999794610664956
10.2,4.999814155318663
10.3,4.999831840184423
10.4,4.999847842220598
10.5,4.999862321550065
10.6,4.999875423061535
10.7,4.999887277858635
10.8,4.999898004571212
10.9,4.999907710541934
11,4.999916492900057
11.1,4.99992443953307
11.2,4.999931629965931
