t,v
0,5
0.1,5.2497918747894
0.2,5.49833997312478
0.3,5.744425168116591
0.4,5.98687660112452
0.5,6.224593312018546
0.6000000000000001,6.456563062257954
0.7000000000000001,6.681877721681661
0.8,6.899744811276125
0.9,7.109495026250039
1,7.310585786300049
1.1,7.502601055951176
1.2,7.685247834990177
1.3,7.858349830425587
1.4,8.021838885585819
1.5,8.175744761936436
1.6,8.320183851339245
1.7,8.455347349164652
1.8,8.581489350995122
1.9,8.698915256370022
2,8.807970779778824
2.1,8.909031788043871
2.2,9.002495108803149
2.3,9.088770389851438
2.4,9.168273035060777
2.5,9.241418199787566
2.6,9.308615796566533
2.7,9.370266439430035
2.8,9.426758241011314
2.9,9.478464369215823
3,9.525741268224333
3.1,9.568927450589138
3.2,9.608342772032357
3.3,9.644288107273638
3.4,9.677045353015496
3.5,9.706877692486437
3.6,9.734030064231341
3.7,9.758729785823308
3.8,9.781187290638695
3.9,9.801596942659225
4,9.820137900379084
4.100000000000001,9.836975006285591
4.2,9.85225968306727
4.3,9.866130821723349
4.4,9.878715650157256
4.5,9.890130573694067
4.600000000000001,9.900481981330955
4.7,9.909867013471519
4.800000000000001,9.918374288468399
4.9,9.926084586557179
5,9.93307149075715
5.100000000000001,9.939401985084157
5.2,9.945137011005492
5.300000000000001,9.950331983499428
5.4,9.955037268390585
5.5,9.959298622841036
5.600000000000001,9.963157601005637
5.7,9.966651926925863
5.800000000000001,9.969815836752913
5.9,9.972680392369885
6,9.975273768433647
6.100000000000001,9.977621514787231
6.2,9.979746796109493
6.300000000000001,9.981670610575065
6.4,9.983411989198249
6.5,9.984988177432621
6.600000000000001,9.986414800495702
6.7,9.987706013787216
6.800000000000001,9.988874639671387
6.9,9.989932291799132
7,9.990889488055981
7.100000000000001,9.991755753136001
7.2,9.992539711661616
7.300000000000001,9.993249172693654
7.4,9.993891206405635
7.5,9.994472213630742
7.600000000000001,9.99499798892918
7.7,9.995473777767566
7.800000000000001,9.995904328350107
7.9,9.996293938593702
8,9.996646498695299
8.1,9.996965529699668
8.200000000000001,9.99725421843894
8.300000000000001,9.997515449181554
8.4,9.99775183229761
8.5,9.997965730219386
8.6,9.998159280950297
8.700000000000001,9.998334419352151
8.800000000000001,9.998492896419318
8.9,9.99863629672911
9,9.998766054240035
9.1,9.998883466593592
9.200000000000001,9.998989708060797
9.300000000000001,9.999085841261339
9.4,9.99917282777133
9.5,9.999251537724724
9.600000000000001,9.999322758503615
9.700000000000001,9.999387202603625
9.800000000000001,9.999445514752543
9.9,9.999498278352908
10,9.999546021312694
10.1,9.999589221322042
10.2,9.999628310628628
10.3,9.999663680359234
10.4,9.999695684430574
10.5,9.99972464308839
10.6,9.999750846110095
10.7,9.999774555702931
10.8,9.999796009126575
10.9,9.999815421066353
11,9.999832985780756
11.1,9.999848879044746
11.2,9.999863259908221
11.3,9.999876272287224
11.4,9.999888046403811
11.5,9.999898700088934
11.6,9.999908339961411
11.7,9.999917062494724
11.8,9.99992495498233
11.9,9.999932096411142
12,9.999938558251904
12.1,9.999944405174372
12.2,9.999949695694449
12.3,9.999954482759753
12.4,9.999958814279456
12.5,9.99996273360374
12.6,9.999966279957583
12.7,9.999969488833335
12.8,9.99997239234588
12.9,9.999975019554041
13,9.999977396751383
13.1,9.999979547729353
13.2,9.999981494015383
13.3,9.999983255088333
